Date,Open,High,Low,Close,Adj Close,Volume
6/24/2004,5.25,5.275,5.15,5.175,4.056371,384016538
6/25/2004,5.2,5.225,5.15,5.175,4.056371,105626000
6/28/2004,5.15,5.325,5.15,5.3,4.154352,176515000
6/29/2004,5.3,5.35,5.25,5.3,4.154352,96787600
6/30/2004,5.325,5.35,5.25,5.275,4.134757,55040000
7/2/2004,5.2,5.275,5.2,5.225,4.095564,32619000
7/6/2004,5.175,5.225,5.175,5.2,4.075968,24750206
7/7/2004,5.175,5.2,5.15,5.2,4.075968,47246000
7/8/2004,5.2,5.225,5.15,5.175,4.056371,175869444
7/9/2004,5.15,5.175,5.15,5.175,4.056371,68392476
7/12/2004,5.175,5.175,5.15,5.175,4.056371,28424000
7/13/2004,5.15,5.175,5.15,5.15,4.036776,23083000
7/14/2004,5.175,5.175,4.875,4.925,3.860413,227739000
7/15/2004,4.875,4.875,4.725,4.8,3.762432,45852000
7/16/2004,4.725,4.825,4.725,4.75,3.72324,28298000
7/19/2004,4.75,5.025,4.75,4.975,3.899604,39300000
7/20/2004,4.975,4.975,4.9,4.9,3.840816,5656000
7/21/2004,4.95,4.975,4.9,4.925,3.860413,15861000
7/22/2004,4.9,4.9,4.85,4.9,3.840816,15768300
7/23/2004,4.85,4.9,4.85,4.9,3.840816,8524000
7/26/2004,4.875,4.9,4.825,4.825,3.782028,25678000
7/27/2004,4.8,4.85,4.8,4.825,3.782028,8009000
7/28/2004,4.85,4.85,4.8,4.8,3.762432,3636000
7/29/2004,4.8,4.85,4.8,4.825,3.782028,9401000
7/30/2004,4.825,5,4.825,5,3.919201,30637000
8/2/2004,4.95,5,4.9,5,3.919201,18628000
8/3/2004,5,5.1,4.95,5.1,3.997585,32990000
8/4/2004,5.075,5.075,4.975,5.05,3.958392,12945000
8/5/2004,5,5.05,4.975,4.975,3.899604,9394000
8/6/2004,4.975,5.025,4.95,5.025,3.938797,5884000
8/9/2004,4.975,5.05,4.95,5,3.919201,9131000
8/10/2004,5,5.025,4.95,5.025,3.938797,3945000
8/11/2004,5.05,5.05,4.975,4.975,3.899604,6425000
8/12/2004,4.975,5.025,4.975,5.025,3.938797,6494000
8/13/2004,5,5.075,5,5.05,3.958392,5652000
8/16/2004,5.2,5.2,5.025,5.075,3.977988,20109000
8/17/2004,5.075,5.15,5.075,5.125,4.01718,13369000
8/18/2004,5.1,5.175,5.075,5.15,4.036776,7745000
8/19/2004,5.175,5.25,5.175,5.25,4.11516,28909000
8/20/2004,5.225,5.25,5.2,5.2,4.075968,4362784
8/23/2004,5.2,5.225,5.1,5.125,4.01718,12229000
8/24/2004,5.1,5.1,4.975,5.05,3.958392,24529000
8/25/2004,5,5.2,5,5,3.919201,12427000
8/26/2004,5.225,5.3,5.05,5.05,3.958392,33784000
8/27/2004,5.075,5.125,5.025,5.025,3.938797,18005000
8/30/2004,5.025,5.15,5.025,5.075,3.977988,10894000
8/31/2004,5.075,5.125,5.05,5.1,3.997585,7145300
9/1/2004,5.075,5.125,5.05,5.075,3.977988,14133000
9/2/2004,5.075,5.25,5.05,5.2,4.075968,32772200
9/3/2004,5.175,5.275,5.125,5.25,4.11516,42047000
9/6/2004,5.25,5.25,5.175,5.2,4.075968,24242000
9/7/2004,5.2,5.525,5.175,5.5,4.311121,132917000
9/8/2004,5.525,5.625,5.45,5.575,4.369909,90462000
9/9/2004,5.525,5.65,5.5,5.5,4.311121,48849000
9/10/2004,5.45,5.525,5.375,5.45,4.271929,44665000
9/13/2004,5.5,5.5,5.375,5.475,4.291525,16933000
9/14/2004,5.45,5.575,5.425,5.575,4.369909,40504000
9/15/2004,5.55,5.575,5.5,5.55,4.350313,10964000
9/16/2004,5.525,5.775,5.525,5.775,4.526678,62951000
9/17/2004,5.775,5.875,5.75,5.875,4.605061,92746048
9/20/2004,5.9,5.925,5.775,5.875,4.605061,47419000
9/21/2004,5.85,5.9,5.75,5.875,4.605061,32329000
9/22/2004,5.825,5.875,5.675,5.725,4.487485,20585000
9/23/2004,5.675,5.8,5.65,5.8,4.546274,32885000
9/24/2004,5.75,5.775,5.625,5.675,4.448293,24899000
9/27/2004,5.625,5.725,5.575,5.7,4.467889,14161000
9/28/2004,5.7,5.7,5.575,5.6,4.389504,11860000
9/30/2004,5.6,5.775,5.6,5.725,4.487485,22658400
10/4/2004,5.85,5.925,5.8,5.85,4.585465,39746000
10/5/2004,5.8,5.975,5.775,5.9,4.624656,27634000
10/6/2004,5.9,6.05,5.875,6.025,4.722638,52813356
10/7/2004,6,6.05,5.95,6,4.703042,35339000
10/8/2004,5.95,6.05,5.875,6,4.703042,22706000
10/11/2004,6,6.075,5.925,6.025,4.722638,18458000
10/12/2004,5.975,6.025,5.925,5.975,4.683445,7288000
10/13/2004,6.025,6.1,5.975,6.05,4.742234,38658000
10/14/2004,5.95,5.975,5.875,5.975,4.683445,18955076
10/15/2004,5.9,6.35,5.875,6.35,4.977386,50013000
10/18/2004,6.1,6.125,6.025,6.05,4.742234,55546000
10/19/2004,6.075,6.075,5.975,6,4.703042,25837000
10/20/2004,5.95,5.975,5.825,5.9,4.624656,31766440
10/21/2004,5.9,5.9,5.675,5.775,4.526678,12816176
10/25/2004,5.7,5.75,5.65,5.7,4.467889,12890000
10/26/2004,5.725,5.825,5.725,5.775,4.526678,13882800
10/27/2004,5.825,5.85,5.75,5.775,4.526678,24940000
10/28/2004,5.825,5.875,5.75,5.85,4.585465,23705334
10/29/2004,5.95,6.175,5.925,6.125,4.801021,84898000
11/1/2004,6.1,6.1,5.975,6.025,4.722638,46547200
11/2/2004,6.025,6.05,5.975,5.975,4.683445,36191000
11/3/2004,5.95,6.025,5.95,5.975,4.683445,24995000
11/4/2004,6.05,6.05,5.975,5.975,4.683445,10598000
11/5/2004,6.05,6.15,6.025,6.05,4.742234,20972000
11/8/2004,6.1,6.225,6.05,6.2,4.85981,29429000
11/9/2004,6.2,6.3,6.2,6.3,4.938195,32357000
11/10/2004,6.3,6.5,6.3,6.5,5.094961,60376200
11/11/2004,6.475,6.475,6.35,6.375,4.996982,24740000
11/12/2004,6.475,6.6,6.425,6.6,5.173345,49650000
11/15/2004,6.6,6.75,6.525,6.7,5.251729,28111200
11/16/2004,6.675,6.8,6.65,6.675,5.232133,42059000
11/17/2004,6.65,6.725,6.575,6.625,5.192943,18474000
11/18/2004,6.625,6.625,6.5,6.55,5.134153,20497000
11/19/2004,6.55,6.6,6.475,6.55,5.134153,21298000
11/22/2004,6.45,6.55,6.375,6.475,5.075365,22724000
11/23/2004,6.5,6.65,6.45,6.625,5.192943,14455000
11/24/2004,6.6,6.775,6.575,6.625,5.192943,26313500
11/25/2004,6.65,6.75,6.55,6.65,5.212538,16856000
11/26/2004,6.65,6.85,6.625,6.75,5.290921,26585000
11/29/2004,6.775,6.925,6.775,6.85,5.369305,32977000
11/30/2004,6.925,6.95,6.85,6.9,5.408497,16773000
12/1/2004,6.85,6.875,6.725,6.85,5.369305,17246000
12/2/2004,6.925,6.95,6.85,6.85,5.369305,13786800
12/3/2004,6.85,6.925,6.8,6.875,5.3889,12578600
12/6/2004,6.925,6.925,6.75,6.825,5.349709,10474664
12/7/2004,6.8,6.875,6.75,6.775,5.310517,12761000
12/8/2004,6.75,6.9,6.7,6.7,5.251729,25172000
12/9/2004,6.7,6.775,6.675,6.7,5.251729,14789000
12/10/2004,6.65,6.65,6.375,6.475,5.075365,41702000
12/13/2004,6.3,6.375,6.225,6.325,4.957788,32111200
12/14/2004,6.375,6.4,6.275,6.3,4.938195,13218000
12/15/2004,6.375,6.4,6.325,6.375,4.996982,23735400
12/16/2004,6.375,6.475,6.35,6.45,5.055767,20029000
12/17/2004,6.425,6.575,6.425,6.575,5.153748,66835400
12/20/2004,6.55,6.7,6.55,6.7,5.251729,19657000
12/21/2004,6.675,6.75,6.625,6.725,5.271326,14654000
12/22/2004,6.725,6.75,6.55,6.6,5.173345,11936000
12/23/2004,6.6,6.7,6.55,6.675,5.232133,6020000
12/24/2004,6.675,6.675,6.6,6.675,5.232133,3352000
12/28/2004,6.6,6.75,6.6,6.725,5.271326,9031000
12/29/2004,6.75,6.775,6.625,6.65,5.212538,3271000
